,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
163,Nord,Autre,Compliant,5,1.0,6,419848,107.8000031,8
164,Centre,Autre,Compliant,5,1.0,4,110785,95.30000305,14
166,Centre,Détente,Compliant,5,1.0,0,934292,117.9000015,17
167,Centre,Médical,Compliant,2,6.0,5,597519,238.3999939,26
169,Nord,Industriel,Compliant,2,1.0,3,75397,8.199999809,25
170,Centre,Médical,Compliant,2,9.0,8,1158691,217.1000061,16
171,Centre,Médical,Compliant,6,1.0,5,102796,98.30000305,17
174,Nord,Universitaire,Compliant,1,1.0,2,55653,24.79999924,88
175,Nord,Détente,Compliant,1,1.0,16,106860,111.6999969,85
176,Nord,Bureau,Compliant,2,1.0,5,50759,62.0,44
177,Nord,Autre,Compliant,1,1.0,2,56772,43.0,64
178,Nord,Autre,Compliant,1,1.0,3,103000,47.09999847,64
185,Centre,Autre,Compliant,3,1.0,7,128766,47.0,102
186,Centre,Universitaire,Compliant,3,1.0,9,107572,54.79999924,103
187,Centre,Autre,Compliant,1,1.0,15,230880,306.3999939,61
192,Centre,Autre,Compliant,1,1.0,1,76086,42.0,43
193,Centre,Médical,Compliant,2,1.0,5,190000,183.5,89
194,Centre,Détente,Compliant,1,1.0,4,122309,208.1000061,55
196,Centre,Détente,Compliant,1,1.0,8,254273,96.19999695,13
197,Centre,Autre,Compliant,1,1.0,2,69400,213.6999969,36
198,Centre,Autre,Compliant,3,1.0,1,62900,158.3000031,116
199,Centre,Bureau,Compliant,2,1.0,4,56500,34.5,102
200,Centre,Industriel,Compliant,2,1.0,4,203504,18.60000038,8
201,Centre,Bureau,Compliant,1,0.0,3,100734,97.19999695,48
202,Centre,Bureau,Compliant,2,1.0,4,77662,80.59999847,35
203,Centre,Bureau,Compliant,4,1.0,12,234000,89.40000153,38
204,Centre,Bureau,Compliant,2,1.0,25,369996,64.5,27
205,Centre,Supermarché,Compliant,2,1.0,10,693450,57.79999924,91
206,Centre,Bureau,Compliant,5,1.0,33,791396,60.29999924,40
207,Centre,Bureau,Compliant,3,1.0,23,747747,56.20000076,16
208,Centre,Bureau,Compliant,2,1.0,10,63409,66.90000153,90
209,Centre,Bureau,Compliant,4,1.0,17,204790,44.5,86
210,Centre,Bureau,Compliant,2,1.0,5,73399,61.09999847,100
211,Centre,Bureau,Compliant,2,1.0,20,265851,64.59999847,47
212,Centre,Bureau,Compliant,2,1.0,25,758043,46.40000153,7
213,Centre,Bureau,Compliant,2,1.0,12,206000,53.29999924,48
214,Centre,Bureau,Compliant,2,1.0,36,824887,53.20000076,7
215,Centre,Bureau,Compliant,5,1.0,16,480840,52.70000076,26
216,Centre,Bureau,Compliant,3,1.0,7,89550,47.70000076,116
217,Centre,Bureau,Compliant,2,1.0,6,89355,46.79999924,116
218,Centre,Bureau,Compliant,1,1.0,15,388934,47.79999924,94
219,Centre,Bureau,Compliant,3,1.0,22,384302,28.39999962,87
220,Centre,Bureau,Compliant,2,1.0,17,378525,105.1999969,58
221,Centre,Bureau,Compliant,3,1.0,47,1323055,42.59999847,33
222,Centre,Bureau,Compliant,3,1.0,41,589921,51.20000076,30
223,Centre,Bureau,Compliant,2,1.0,6,91091,20.5,66
224,Centre,Bureau,Compliant,2,1.0,8,157941,44.09999847,48
225,Centre,Bureau,Compliant,2,1.0,29,635303,34.90000153,25
226,Centre,Bureau,Non-Compliant,3,1.0,6,172842,297.3999939,58
227,Centre,Bureau,Compliant,2,1.0,34,776762,53.70000076,36
228,Centre,Bureau,Compliant,3,1.0,14,186768,52.70000076,44
229,Centre,Bureau,Compliant,5,1.0,49,1123435,52.70000076,47
