,Quartier,AgeBatiment,NombreUtilisations,PremierTypePropriete,NombreBatiments,NombreEtages,SurfacePlancherTotal,SurfaceTotaleParking,SurfaceTotaleHorsParking,ListeUtilisationsBatiment,UtilisationPrincipale,SurfaceUtilisationPrincipale,UtilisationSecondaire,SurfaceUtilisationSecondaire,UtilisationTertiaire,SurfaceUtilisationTertiaire,Conformité,ConsoSite/S(kBtu/sf),ConsoSiteNorm/S(kBtu/sf),ConsoSource/S(kBtu/sf),ConsoSourceNorm/S(kBtu/sf),ConsoSiteTot(kBtu),ConsoSiteTotNorm(kBtu),Vapeur(kBtu),Électricité(kBtu),GazNaturel(kBtu),EmissionGES,IntensiteGES/S,TrancheAge,Pertes/S(kBtu/sf),ProportionVapeur,ProportionElectricité,ProportionGazNaturel,Latitude,Longitude,Zone,clusters_kmeans
333,LAKE UNION,88,2,Laboratory,1.0,3,55200,0,55200,"Data Center, Laboratory",Laboratory,54880.0,Data Center,320.0,Aucune,0.0,Compliant,210.0,218.6999969,504.5,509.0,11594121.0,12072969.0,0.0,7500378.0,4093742.0,269.71,4.89,"[87,116[",294.5,0.0,0.6469121721258558,0.3530877416235349,47.62348,-122.33743,Centre,2
334,LAKE UNION,13,1,Laboratory,1.0,4,241159,111793,129366,Laboratory,Laboratory,176171.0,Aucune,0.0,Aucune,0.0,Compliant,191.3999939,197.1999969,442.7999878,449.0,33713876.0,34746128.0,0.0,20388923.0,13324952.0,849.83,3.52,"[0,29[",251.3999939,0.0,0.6047635400925127,0.3952364302461099,47.62254,-122.33753,Centre,2
335,LAKE UNION,12,5,Large Office,1.0,6,139282,52582,86700,"Financial Office, Food Service, Office, Other, Parking",Office,79384.0,Parking,52582.0,Financial Office,3027.0,Compliant,37.29999924,37.29999924,117.3000031,117.3000031,3238216.0,3238216.0,0.0,3238216.0,0.0,22.57,0.16,"[0,29[",80.00000385999999,0.0,1.0,0.0,47.62286,-122.33804,Centre,1
336,LAKE UNION,7,3,Large Office,1.0,5,271071,98700,172371,"Medical Office, Office, Parking",Office,168132.0,Parking,96918.0,Medical Office,16862.0,Compliant,42.40000153,43.0,131.5,133.3000031,7851334.5,7960023.0,0.0,7695280.0,156054.0,61.93,0.23,"[0,29[",89.09999847,0.0,0.980123824809655,0.0198761115069036,47.62383,-122.3356,Centre,1
337,LAKE UNION,102,1,Warehouse,1.0,5,127800,0,127800,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,127800.0,Aucune,0.0,Aucune,0.0,Compliant,21.70000076,22.0,64.40000153,64.69999695,2767491.0,2811924.5,0.0,2545590.0,221900.0,29.53,0.23,"[87,116[",42.70000077,0.0,0.9198187094375376,0.0801809292243407,47.62572,-122.33389,Centre,0
338,LAKE UNION,14,2,Large Office,1.0,5,560516,206597,353919,"Office, Parking",Office,372503.0,Parking,189133.0,Aucune,0.0,Compliant,80.80000305,81.59999847,202.1999969,200.6000061,30083496.0,30401640.0,0.0,20922584.0,9160910.0,632.4,1.13,"[0,29[",121.39999385,0.0,0.6954837961651797,0.3045161373531853,47.62855,-122.33035,Centre,3
339,LAKE UNION,15,2,Large Office,1.0,6,226592,95000,131592,"Office, Parking",Office,131592.0,Parking,83178.0,Aucune,0.0,Compliant,90.90000153,89.80000305,281.6000061,278.0,11963428.0,11812678.0,0.0,11719809.0,243618.0,94.64,0.42,"[0,29[",190.70000457,0.0,0.9796363550647856,0.0203635613471322,47.62621,-122.33128,Centre,1
341,LAKE UNION,13,4,Mixed Use Property,1.0,5,159700,50654,109046,"Office, Other, Parking, Retail Store",Other,72407.0,Parking,49314.0,Office,37406.0,Compliant,270.3999939,275.1000061,650.5999756,655.5,31371618.0,31915486.0,0.0,20355803.0,11015812.0,726.96,4.55,"[0,29[",380.1999817,0.0,0.6488604763707119,0.3511394280014502,47.62121,-122.33885,Centre,2
342,LAKE UNION,10,4,Large Office,1.0,4,209816,73673,136143,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",Office,113803.0,Parking,79091.0,Fitness Center/Health Club/Gym,15803.0,Compliant,51.0,51.0,135.1999969,135.1999969,6917478.5,6917478.5,0.0,5303806.0,1613672.0,122.68,0.58,"[0,29[",84.1999969,0.0,0.7667253320700599,0.2332745956492672,47.62137,-122.33744,Centre,1
343,LAKE UNION,10,3,Large Office,1.0,6,303103,109905,193198,"Bank Branch, Office, Parking",Office,178628.0,Parking,99368.0,Bank Branch,6015.0,Compliant,40.70000076,40.90000153,123.6999969,123.9000015,7519466.5,7554767.0,0.0,7147457.0,372009.0,69.59,0.23,"[0,29[",82.99999614000001,0.0,0.9505271417859232,0.0494727917199976,47.62131,-122.33814,Centre,1
